timestamp,name,rssi
2013-06-02 01:42:42.331000,ubuntu-0,-105
2013-06-02 01:43:47.611000,Mother,-97
2013-06-02 01:43:50.205000,ubuntu-0,-76
2013-06-02 01:44:42.271000,ubuntu-0,-99
2013-06-02 01:44:45.014000,Mother,-79
2013-06-02 01:45:42.752000,Mother,-83
2013-06-02 01:45:45.606000,ubuntu-0,-81
2013-06-02 01:46:44.577000,Mother,-84
2013-06-02 01:46:45.020000,ubuntu-0,-67
2013-06-02 01:47:44.076000,ubuntu-0,-72
2013-06-02 01:48:45.411000,Mother,-87
2013-06-02 01:48:46.375000,ubuntu-0,-76
2013-06-02 01:49:42.137000,ubuntu-0,-103
2013-06-02 01:49:43.292000,Mother,-88
2013-06-02 01:50:43.418000,ubuntu-0,-78
2013-06-02 01:50:44.981000,Mother,-88
2013-06-02 01:51:43.621000,ubuntu-0,-71
2013-06-02 01:51:45.166000,Mother,-86
2013-06-02 01:52:45.013000,Mother,-81
2013-06-02 01:52:47.397000,ubuntu-0,-75
2013-06-02 01:53:42.591000,Mother,-84
2013-06-02 01:53:44.346000,ubuntu-0,-68
2013-06-02 01:54:49.671000,Mother,-108
2013-06-02 01:54:54.572000,ubuntu-0,-82
2013-06-02 01:55:42.789000,ubuntu-0,-96
2013-06-02 01:55:46.287000,Mother,-79
2013-06-02 01:56:43.600000,ubuntu-0,-79
2013-06-02 01:56:44.153000,Mother,-83
2013-06-02 01:57:46.444000,Mother,-107
2013-06-02 01:57:46.547000,ubuntu-0,-100
2013-06-02 01:58:44.174000,Mother,-82
2013-06-02 01:58:50.429000,ubuntu-0,-105
2013-06-02 01:59:43.236000,ubuntu-0,-99
2013-06-02 01:59:46.265000,Mother,-110
2013-06-02 02:00:43.511000,Mother,-107
2013-06-02 02:00:44.761000,ubuntu-0,-94
2013-06-02 02:01:45.118000,ubuntu-0,-95
2013-06-02 02:01:46.537000,Mother,-78
2013-06-02 02:02:44.280000,ubuntu-0,-95
2013-06-02 02:03:43.504000,ubuntu-0,-66
2013-06-02 02:03:46.039000,Mother,-78
2013-06-02 02:04:43.655000,Mother,-88
2013-06-02 02:04:43.737000,Mother,-78
2013-06-02 02:04:44.395000,ubuntu-0,-66
2013-06-02 02:05:44.871000,ubuntu-0,-66
2013-06-02 02:05:46.776000,Mother,-82
2013-06-02 02:06:42.733000,ubuntu-0,-64
2013-06-02 02:06:46.296000,Mother,-78
2013-06-02 02:07:41.533000,Mother,-107
2013-06-02 02:07:44.614000,ubuntu-0,-67
2013-06-02 02:08:45.506000,ubuntu-0,-64
2013-06-02 02:08:46.405000,Mother,-88
2013-06-02 02:09:43.581000,ubuntu-0,-66
2013-06-02 02:09:51.471000,Mother,-77
2013-06-02 02:10:44.508000,Mother,-83
2013-06-02 02:10:46.260000,ubuntu-0,-64
2013-06-02 02:11:45.945000,ubuntu-0,-67
2013-06-02 02:11:46.615000,Mother,-82
2013-06-02 02:12:46.787000,Mother,-84
2013-06-02 02:12:46.842000,ubuntu-0,-65
